Survey Response Number,Q1_How many years have you worked for the City?,Q2_Have you ever transferred departments within the City?,AltQ3A_ Additional career advancement opportunities,AltQ3B_ Attractive retention incentives in the new department,AltQ3C_ Better compensation/salary,AltQ3D_ Better management/ co-workers/ department culture,AltQ3E_ Dissatisfaction with how I was treated in my previous department,AltQ3F_ More opportunities for telework/ flexible work hours,Q4A_I intend to be working for the City 1 year from now.,Q4B_I intend to be working for the City 5 years from now.,Q4C_I intend to retire from the City.,"Q5_Since becoming a City of Austin employee, when was the last time you applied for a job outside the City?","Q6A_Benefits (including insurance, vacation, etc.)",Q6B_Career advancement opportunities,Q6C_Commitment to public service,Q6D_Compensation/salary,Q6E_Fair and equitable treatment,Q6F_Management/ co-workers/ department culture,Q6G_Retirement/ pension,Q6H_Telework/ flexible work hours,Q7_Do the training and development opportunities offered by your department improve your desire to stay with the City?,Q8_Do the training and development opportunities offered by the City improve your desire to stay with the City?,Q9A_I am satisfied with my current work/life balance.,Q9B_I feel valued by my management.,Q9C_I would recommend my department to a friend.,Q9D_I would recommend the City as an employer to a friend.,Q10_What Department are you with?,Q11_Does the retention program offered by your department improve your desire to stay with the City? Retention program refers to any monetary incentives added to base pay.
1,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Disagree,Strongly Agree,Neutral,Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
2,Less than a year,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Strongly Agree,Agree,Agree,Strongly Agree,I Prefer Not to Disclose,
3,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Yes,Yes,Neutral,Agree,Agree,Agree,Austin 3-1-1,
4,More than 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Strongly Disagree,Neutral,Neutral,Forensic Science Department,
5,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Austin Water,Yes
6,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin 3-1-1,
7,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Extremely unlikely,I have not applied for any jobs outside the City,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Neutral,Agree,Agree,Fire Department,
8,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Extremely unlikely,Within the past 3 months,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Important,No,No,Disagree,Disagree,Neutral,Neutral,Austin Public Library,I am not aware of any retention programs offered by my department.
9,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Extremely unlikely,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Disagree,Strongly Disagree,Strongly Disagree,I Prefer Not to Disclose,
10,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Public Health,Yes
